f;t;count;st_astext
15647;10109;1;LINESTRING(680704.753999695 6572586.42599176,683021.248999646 6566927.82699096)
13810;15191;1;LINESTRING(679993.514999699 6579150.29499191,669196.453999904 6575315.16999516)
12019;12376;1;LINESTRING(670247.816999877 6585480.2639948,669483.134999893 6580828.71599504)
12019;12141;1;LINESTRING(670247.816999877 6585480.2639948,670900.760999874 6580162.97499469)
11598;13183;1;LINESTRING(673731.125999825 6582339.9269939,677616.153999756 6578364.62599275)
21771;16964;1;LINESTRING(688102.624999452 6577078.81398848,665550.954999902 6615557.09199561)
14765;16157;1;LINESTRING(675483.848999799 6578541.77299343,670883.556999878 6577926.16199472)
12096;16748;1;LINESTRING(671125.857999871 6580333.69699463,665493.284999918 6601357.34499574)
11249;16320;1;LINESTRING(666957.276999914 6589867.57699553,665556.100999919 6599754.38499574)
12198;15405;1;LINESTRING(671745.810999861 6580494.17999447,676622.225999781 6576265.9229931)
7670;11566;1;LINESTRING(663516.788999928 6612595.89099606,672741.490999843 6581992.99499418)
15141;11638;1;LINESTRING(675395.361999802 6577688.53099347,672273.853999852 6580937.50299432)
11856;11970;1;LINESTRING(672280.540999839 6589937.10199422,673693.652999823 6584339.64699388)
2066;14524;1;LINESTRING(672680.937999847 6579573.15799423,675545.457999792 6581792.99599337)
11654;11856;1;LINESTRING(673700.123999824 6583463.65899389,672280.540999839 6589937.10199422)
17363;15998;1;LINESTRING(664598.394999948 6582341.28399608,674282.282999824 6576746.51299381)
16964;7440;1;LINESTRING(665550.954999902 6615557.09199561,663769.138999932 6606799.96999606)
15646;18895;1;LINESTRING(678341.175999749 6573501.17299258,690933.56999936 6570441.04798717)
11453;11876;1;LINESTRING(672549.910999845 6582373.61099423,672996.200999831 6586892.77799405)
11227;11994;1;LINESTRING(668460.287999897 6588848.3769952,673345.521999827 6585438.24899397)
16789;7400;1;LINESTRING(665640.579999918 6600331.80999572,663763.708999932 6606917.88299606)
14376;11464;1;LINESTRING(676419.824999772 6583294.25999307,672636.700999849 6579170.18899424)
14525;13262;1;LINESTRING(675672.50999979 6581749.50699333,677756.366999742 6584247.39099262)
13220;11508;1;LINESTRING(677815.94599975 6579407.53999267,674172.285999818 6581949.33599378)
11421;15315;1;LINESTRING(672639.030999842 6583435.51699419,672084.698999859 6578176.6669944)
11566;15717;1;LINESTRING(672741.490999843 6581992.99499418,675734.804999799 6576271.17699338)
16203;12414;1;LINESTRING(664071.920999953 6582731.95899619,671702.086999856 6584433.99899444)
14769;12220;1;LINESTRING(675941.81699979 6578538.31999329,671172.730999872 6579022.48199463)
15288;15738;1;LINESTRING(667805.32399992 6576109.19299547,675754.104999796 6577464.21899336)
7319;7669;1;LINESTRING(663706.775999931 6607577.78699606,663856.720999925 6612679.00599599)
16092;15012;1;LINESTRING(671438.095999869 6577997.86599458,674724.607999809 6581131.15899363)
15647;1407;1;LINESTRING(680704.753999695 6572586.42599176,674081.097999821 6581326.33199381)
15243;13833;1;LINESTRING(676093.169999793 6575420.65299328,680402.758999689 6579094.79099176)
57;14679;1;LINESTRING(672370.294999865 6570782.34099441,676353.923999777 6581516.83499311)
9878;1919;1;LINESTRING(679179.910999738 6569504.95199236,673102.314999839 6580640.5869941)
11501;14433;1;LINESTRING(674557.52399981 6582584.89999366,676859.676999771 6578847.38799299)
9242;12047;1;LINESTRING(672210.759999868 6570539.44999446,670236.329999878 6584083.29699482)
15738;15168;1;LINESTRING(675754.104999796 6577464.21899336,671052.435999877 6576736.40499469)
11249;16755;1;LINESTRING(666957.276999914 6589867.57699553,665453.395999918 6602636.13999574)
11575;14432;1;LINESTRING(674144.079999822 6579531.38699381,676414.05299978 6579063.19299313)
2066;14655;1;LINESTRING(672680.937999847 6579573.15799423,676928.01599977 6578488.27199297)
11462;7440;1;LINESTRING(673345.776999832 6582218.22499401,663769.138999932 6606799.96999606)
7319;16745;1;LINESTRING(663706.775999931 6607577.78699606,665454.95699992 6600819.04199576)
11566;12080;1;LINESTRING(672741.490999843 6581992.99499418,670393.618999874 6585975.88799476)
16964;15972;1;LINESTRING(665550.954999902 6615557.09199561,674065.825999829 6576539.42499388)
16964;15086;1;LINESTRING(665550.954999902 6615557.09199561,674847.950999806 6581761.55099358)
15237;13427;1;LINESTRING(673145.984999844 6576925.85299413,683755.759999594 6579453.81599042)
7319;16812;1;LINESTRING(663706.775999931 6607577.78699606,665469.72699992 6600548.69899576)
15935;10803;1;LINESTRING(673484.85299984 6575904.99299405,676144.330999799 6571141.95699333)
7440;16942;1;LINESTRING(663769.138999932 6606799.96999606,665563.671999902 6615220.30399561)
6969;16276;1;LINESTRING(659165.628999981 6596022.96799696,665504.342999933 6587792.68899586)
11635;13353;1;LINESTRING(674007.249999821 6581851.35199383,678293.091999728 6584954.28399242)
10122;11642;1;LINESTRING(683538.915999626 6569097.76099071,672667.102999845 6581561.66399421)
12073;11599;1;LINESTRING(669577.089999883 6587877.82699494,673852.558999824 6582137.43199387)
12242;14965;1;LINESTRING(671036.110999867 6583657.05799462,675728.046999788 6582072.16299331)
11556;16940;1;LINESTRING(672035.793999854 6582297.39499437,665566.048999902 6615106.85299561)
16729;11217;1;LINESTRING(665015.04599993 6595954.47699589,669195.143999888 6588095.99299503)
16942;7630;1;LINESTRING(665563.671999902 6615220.30399561,663479.588999932 6609813.92599609)
15338;13183;1;LINESTRING(672599.213999852 6577084.57699428,677616.153999756 6578364.62599275)
15628;15165;1;LINESTRING(681103.749999677 6576123.20999155,676672.809999777 6577775.79499307)
9341;13356;1;LINESTRING(669926.9839999 6570758.77499503,677303.191999751 6584659.83499276)
12378;14433;1;LINESTRING(670707.287999877 6580551.59099473,676859.676999771 6578847.38799299)
16541;7606;1;LINESTRING(665359.874999921 6600974.46099578,663600.182999929 6610751.22699606)
12142;12026;1;LINESTRING(670808.553999876 6580094.89299471,671389.338999861 6584476.41199452)
23401;11635;1;LINESTRING(686019.125999466 6598244.42298901,674007.249999821 6581851.35199383)
11469;15501;1;LINESTRING(673734.362999828 6580741.28599392,676320.66499979 6574416.56799323)
11825;11599;1;LINESTRING(673676.387999811 6592075.17499379,673852.558999824 6582137.43199387)
7440;11295;1;LINESTRING(663769.138999932 6606799.96999606,667012.606999915 6588755.94399553)
15338;13833;1;LINESTRING(672599.213999852 6577084.57699428,680402.758999689 6579094.79099176)
12136;13447;1;LINESTRING(670042.542999885 6580960.2779949,684385.784999566 6582874.53699008)
15363;12303;1;LINESTRING(676889.520999773 6577703.930993,670289.776999884 6579732.66999485)
7319;7598;1;LINESTRING(663706.775999931 6607577.78699606,663734.604999926 6613019.46299601)
11644;11482;1;LINESTRING(674484.995999816 6579781.47499371,673341.422999834 6581371.36399402)
14988;11575;1;LINESTRING(676694.313999767 6582862.74299299,674144.079999822 6579531.38699381)
11249;16706;1;LINESTRING(666957.276999914 6589867.57699553,665567.93299992 6599665.04399574)
12921;14355;1;LINESTRING(672791.421999819 6596987.18499399,678853.961999684 6599769.59099199)
14490;11650;1;LINESTRING(676912.609999771 6578447.37299298,672542.56099985 6579471.99899426)
12229;12311;1;LINESTRING(670978.396999865 6586305.9189946,670998.639999875 6579032.37199468)
15338;15349;1;LINESTRING(672599.213999852 6577084.57699428,677483.213999759 6578031.0689928)
13263;14795;1;LINESTRING(678213.825999732 6583955.98099246,674853.432999811 6578316.17499362)
15581;13815;1;LINESTRING(675998.789999793 6576215.8289933,680552.966999685 6579147.0709917)
14433;15743;1;LINESTRING(676859.676999771 6578847.38799299,678141.83399975 6575452.45199262)
15140;12100;1;LINESTRING(675476.323999801 6577567.96299344,671403.500999864 6582386.44799454)
11532;20022;1;LINESTRING(673100.342999837 6582000.34099408,689115.603999344 6597920.04098744)
16161;14919;1;LINESTRING(671026.390999875 6577937.88999468,675069.699999801 6582357.1419935)
14433;15025;1;LINESTRING(676859.676999771 6578847.38799299,675962.594999785 6581095.16199324)
13761;11489;1;LINESTRING(679997.379999699 6578872.38499191,674162.76899982 6580609.4379938)
16328;7319;1;LINESTRING(664377.725999918 6613345.94099588,663706.775999931 6607577.78699606)
15843;15935;1;LINESTRING(671746.115999873 6572189.55499456,673484.85299984 6575904.99299405)
9704;15979;1;LINESTRING(678938.472999742 6570287.90699242,673024.311999848 6575212.53099418)
11043;4477;1;LINESTRING(667914.983999913 6581172.6619954,661710.025999983 6571760.15899669)
15324;16139;1;LINESTRING(677255.774999764 6577967.81299288,671717.472999866 6577415.84499451)
