source;target;prev;cost;distance
0;0;0;0;0
1;1;1;0;0
1;2;1;1;1
1;5;1;1;1
1;6;5;1;2
1;10;5;1;2
1;11;6;1;3
1;13;10;1;3
1;9;6;1;3
1;12;11;1;4
1;4;9;1;4
1;8;5;3;4
1;3;4;1;5
1;7;8;1;5
2;2;2;0;0
2;1;2;1;1
2;5;1;1;2
2;6;5;1;3
2;10;5;1;3
2;11;6;1;4
2;13;10;1;4
2;9;6;1;4
2;12;11;1;5
2;4;9;1;5
2;8;5;3;5
2;3;4;1;6
2;7;8;1;6
3;3;3;0;0
3;1;3;1;1
3;6;3;1;1
3;5;1;1;2
3;11;6;1;2
3;2;1;1;2
3;9;6;1;2
3;10;5;1;3
3;4;9;1;3
3;12;11;1;3
3;13;10;1;4
3;8;5;3;5
3;7;8;1;6
4;4;4;0;0
4;3;4;1;1
4;9;4;1;1
4;6;3;1;2
4;12;9;1;2
4;1;3;1;2
4;5;6;1;3
4;2;1;1;3
4;11;6;1;3
4;10;5;1;4
4;13;10;1;5
4;8;5;3;6
4;7;8;1;7
5;5;5;0;0
5;1;5;1;1
5;10;5;1;1
5;6;5;1;1
5;13;10;1;2
5;9;6;1;2
5;11;10;1;2
5;2;1;1;2
5;12;9;1;3
5;4;9;1;3
5;8;5;3;3
5;3;4;1;4
5;7;8;1;4
6;6;6;0;0
6;5;6;1;1
6;11;6;1;1
6;9;6;1;1
6;12;11;1;2
6;4;9;1;2
6;10;5;1;2
6;1;5;1;2
6;13;10;1;3
6;2;1;1;3
6;3;4;1;3
6;8;5;3;4
6;7;8;1;5
7;7;7;0;0
7;8;7;1;1
7;5;8;3;4
7;1;5;1;5
7;10;5;1;5
7;6;5;1;5
7;13;10;1;6
7;9;6;1;6
7;11;10;1;6
7;2;1;1;6
7;12;9;1;7
7;4;9;1;7
7;3;4;1;8
8;8;8;0;0
8;7;8;1;1
8;5;8;3;3
8;1;5;1;4
8;10;5;1;4
8;6;5;1;4
8;13;10;1;5
8;9;6;1;5
8;11;10;1;5
8;2;1;1;5
8;12;9;1;6
8;4;9;1;6
8;3;4;1;7
9;9;9;0;0
9;6;9;1;1
9;4;9;1;1
9;12;9;1;1
9;3;4;1;2
9;5;6;1;2
9;11;6;1;2
9;10;5;1;3
9;1;3;1;3
9;13;10;1;4
9;2;1;1;4
9;8;5;3;5
9;7;8;1;6
10;10;10;0;0
10;5;10;1;1
10;13;10;1;1
10;11;10;1;1
10;6;5;1;2
10;12;11;1;2
10;1;5;1;2
10;9;6;1;3
10;2;1;1;3
10;4;9;1;4
10;8;5;3;4
10;3;4;1;5
10;7;8;1;5
11;11;11;0;0
11;12;11;1;1
11;9;12;1;2
11;6;9;1;3
11;4;9;1;3
11;5;6;1;4
11;3;4;1;4
11;10;5;1;5
11;1;5;1;5
11;13;10;1;6
11;2;1;1;6
11;8;5;3;7
11;7;8;1;8
12;12;12;0;0
12;9;12;1;1
12;6;9;1;2
12;4;9;1;2
12;11;6;1;3
12;3;4;1;3
12;5;6;1;3
12;1;3;1;4
12;10;5;1;4
12;2;1;1;5
12;13;10;1;5
12;8;5;3;6
12;7;8;1;7
13;13;13;0;0
13;10;13;1;1
13;5;10;1;2
13;11;10;1;2
13;6;5;1;3
13;12;11;1;3
13;1;5;1;3
13;9;6;1;4
13;2;1;1;4
13;4;9;1;5
13;8;5;3;5
13;3;4;1;6
13;7;8;1;6
14;14;14;0;0
14;15;14;1;1
15;15;15;0;0
15;14;15;1;1
16;16;16;0;0
16;17;16;1;1
17;17;17;0;0
17;16;17;1;1
