target;source;next_n;next_e;distance
1;2;1;2;1
1;5;1;6;1
1;3;1;3;1
1;10;5;16;2
1;4;3;4;2
1;8;5;11;2
1;6;5;12;2
1;7;8;8;3
1;9;4;25;3
1;13;10;21;3
2;1;2;1;1
2;3;1;3;2
2;5;1;6;2
2;4;3;4;3
2;10;5;16;3
2;8;5;11;3
2;6;5;12;3
3;4;3;4;1
3;9;4;25;2
3;6;9;14;3
3;12;9;24;3
4;9;4;25;1
4;6;9;14;2
4;12;9;24;2
4;5;6;13;3
4;11;12;20;3
4;3;6;7;3
5;1;5;5;1
5;10;5;16;1
5;8;5;11;1
5;6;5;12;1
5;7;8;8;2
5;9;6;15;2
5;2;1;2;2
5;3;1;3;2
5;13;10;21;2
5;12;9;24;3
5;4;9;26;3
6;3;6;7;1
6;9;6;15;1
6;5;6;13;1
6;12;9;24;2
6;10;5;16;2
6;4;3;4;2
6;1;5;5;2
6;8;5;11;2
6;2;1;2;3
6;7;8;8;3
6;13;10;21;3
6;11;12;20;3
7;8;7;9;1
7;5;8;10;2
7;1;5;5;3
7;10;5;16;3
7;6;5;12;3
8;7;8;8;1
8;5;8;10;1
8;1;5;5;2
8;10;5;16;2
8;6;5;12;2
8;13;10;21;3
8;9;6;15;3
8;2;1;2;3
8;3;1;3;3
9;6;9;14;1
9;4;9;26;1
9;12;9;24;1
9;3;6;7;2
9;11;12;20;2
9;5;6;13;2
9;10;11;19;3
9;8;5;11;3
9;1;5;5;3
10;5;10;17;1
10;13;10;21;1
10;6;5;12;2
10;8;5;11;2
10;1;5;5;2
10;7;8;8;3
10;2;1;2;3
10;3;6;7;3
10;9;6;15;3
11;6;11;18;1
11;10;11;19;1
11;9;6;15;2
11;13;10;21;2
11;3;6;7;2
11;5;6;13;2
11;12;9;24;3
11;8;5;11;3
11;1;5;5;3
11;4;9;26;3
12;11;12;20;1
12;9;12;23;1
12;10;11;19;2
12;4;9;26;2
12;6;11;18;2
12;5;10;17;3
12;3;6;7;3
12;13;10;21;3
13;10;13;22;1
13;5;10;17;2
13;1;5;5;3
13;6;5;12;3
13;8;5;11;3
14;15;14;28;1
15;14;15;27;1
16;17;16;30;1
17;16;17;29;1
