source;target;next_n;last_n;next_e;distance
1;2;2;1;1;1
1;5;5;1;5;1
1;8;5;5;5;2
1;10;5;5;5;2
1;6;5;5;5;2
1;13;5;10;5;3
1;9;5;6;5;3
1;11;5;10;5;3
1;7;5;8;5;3
2;1;1;2;2;1
2;5;1;1;2;2
2;8;1;5;2;3
2;10;1;5;2;3
2;6;1;5;2;3
3;1;1;3;3;1
3;6;6;3;7;1
3;5;1;1;3;2
3;11;6;6;7;2
3;2;1;1;3;2
3;9;6;6;7;2
3;8;1;5;3;3
3;4;6;9;7;3
3;10;1;5;3;3
3;12;6;11;7;3
4;3;3;4;4;1
4;9;9;4;26;1
4;6;3;3;4;2
4;12;9;9;26;2
4;1;3;3;4;2
4;5;3;6;4;3
4;2;3;1;4;3
4;11;3;6;4;3
5;1;1;5;6;1
5;10;10;5;17;1
5;8;8;5;10;1
5;6;6;5;13;1
5;7;8;8;10;2
5;9;6;6;13;2
5;11;10;10;17;2
5;2;1;1;6;2
5;13;10;10;17;2
5;12;6;9;13;3
5;4;6;9;13;3
6;5;5;6;12;1
6;11;11;6;18;1
6;9;9;6;14;1
6;12;11;11;18;2
6;4;9;9;14;2
6;8;5;5;12;2
6;10;5;5;12;2
6;1;5;5;12;2
6;13;5;10;12;3
6;2;5;1;12;3
6;7;5;8;12;3
6;3;9;4;14;3
7;8;8;7;8;1
7;5;8;8;8;2
7;1;8;5;8;3
7;10;8;5;8;3
7;6;8;5;8;3
8;7;7;8;9;1
8;5;5;8;11;1
8;1;5;5;11;2
8;10;5;5;11;2
8;6;5;5;11;2
8;13;5;10;11;3
8;9;5;6;11;3
8;11;5;10;11;3
8;2;5;1;11;3
9;6;6;9;15;1
9;4;4;9;25;1
9;12;12;9;23;1
9;3;4;4;25;2
9;5;6;6;15;2
9;11;6;6;15;2
9;10;6;5;15;3
9;8;6;5;15;3
9;1;4;3;25;3
10;5;5;10;16;1
10;13;13;10;22;1
10;11;11;10;19;1
10;8;5;5;16;2
10;12;11;11;19;2
10;6;5;5;16;2
10;1;5;5;16;2
10;9;11;12;19;3
10;2;5;1;16;3
10;7;5;8;16;3
11;12;12;11;20;1
11;9;12;12;20;2
11;6;12;9;20;3
11;4;12;9;20;3
12;9;9;12;24;1
12;6;9;9;24;2
12;4;9;9;24;2
12;11;9;6;24;3
12;3;9;4;24;3
12;5;9;6;24;3
13;10;10;13;21;1
13;5;10;10;21;2
13;11;10;10;21;2
13;6;10;5;21;3
13;12;10;11;21;3
13;1;10;5;21;3
13;8;10;5;21;3
14;15;15;14;27;1
15;14;14;15;28;1
16;17;17;16;29;1
17;16;16;17;30;1
