source;target;next_n;last_n;next_e;distance
1;2;2;1;0;1
1;5;5;1;4;1
1;8;5;5;4;2
1;10;5;5;4;2
1;6;5;5;4;2
1;13;5;10;4;3
1;9;5;6;4;3
1;11;5;10;4;3
1;7;5;8;4;3
2;1;1;2;1;1
2;5;1;1;1;2
2;8;1;5;1;3
2;10;1;5;1;3
2;6;1;5;1;3
3;1;1;3;2;1
3;6;6;3;6;1
3;5;1;1;2;2
3;11;6;6;6;2
3;2;1;1;2;2
3;9;6;6;6;2
3;8;1;5;2;3
3;4;6;9;6;3
3;10;1;5;2;3
3;12;6;11;6;3
4;3;3;4;3;1
4;9;9;4;25;1
4;6;3;3;3;2
4;12;9;9;25;2
4;1;3;3;3;2
4;5;3;6;3;3
4;2;3;1;3;3
4;11;3;6;3;3
5;1;1;5;5;1
5;10;10;5;16;1
5;8;8;5;9;1
5;6;6;5;12;1
5;7;8;8;9;2
5;9;6;6;12;2
5;11;10;10;16;2
5;2;1;1;5;2
5;13;10;10;16;2
5;12;6;9;12;3
5;4;6;9;12;3
6;5;5;6;11;1
6;11;11;6;17;1
6;9;9;6;13;1
6;12;11;11;17;2
6;4;9;9;13;2
6;8;5;5;11;2
6;10;5;5;11;2
6;1;5;5;11;2
6;13;5;10;11;3
6;2;5;1;11;3
6;7;5;8;11;3
6;3;9;4;13;3
7;8;8;7;7;1
7;5;8;8;7;2
7;1;8;5;7;3
7;10;8;5;7;3
7;6;8;5;7;3
8;7;7;8;8;1
8;5;5;8;10;1
8;1;5;5;10;2
8;10;5;5;10;2
8;6;5;5;10;2
8;13;5;10;10;3
8;9;5;6;10;3
8;11;5;10;10;3
8;2;5;1;10;3
9;6;6;9;14;1
9;4;4;9;24;1
9;12;12;9;22;1
9;3;4;4;24;2
9;5;6;6;14;2
9;11;6;6;14;2
9;10;6;5;14;3
9;8;6;5;14;3
9;1;4;3;24;3
10;5;5;10;15;1
10;13;13;10;21;1
10;11;11;10;18;1
10;8;5;5;15;2
10;12;11;11;18;2
10;6;5;5;15;2
10;1;5;5;15;2
10;9;11;12;18;3
10;2;5;1;15;3
10;7;5;8;15;3
11;12;12;11;19;1
11;9;12;12;19;2
11;6;12;9;19;3
11;4;12;9;19;3
12;9;9;12;23;1
12;6;9;9;23;2
12;4;9;9;23;2
12;11;9;6;23;3
12;3;9;4;23;3
12;5;9;6;23;3
13;10;10;13;20;1
13;5;10;10;20;2
13;11;10;10;20;2
13;6;10;5;20;3
13;12;10;11;20;3
13;1;10;5;20;3
13;8;10;5;20;3
14;15;15;14;26;1.5
15;14;14;15;27;1.5
16;17;17;16;28;1.7
17;16;16;17;29;1.7
